time_s,beam_id,policy,offered_payload_mbps,offered_ip_mbps,virtual_backlog_mb,allocated_channels,beam_capacity_mbps,estimated_served_mb,estimated_utilization
77.000000,3,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
77.000000,4,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
77.000000,5,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
77.000000,6,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
77.000000,7,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
77.000000,8,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
77.000000,9,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
77.000000,10,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
77.000000,11,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
77.000000,12,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
77.000000,13,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
77.000000,14,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
77.000000,15,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
77.000000,16,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
77.000000,17,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
77.000000,18,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
78.000000,0,round_robin,8.000000,8.224000,53.849500,2,2.200000,0.275000,1.000000
78.000000,1,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
78.000000,2,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
78.000000,3,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
78.000000,4,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
78.000000,5,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
78.000000,6,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
78.000000,7,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
78.000000,8,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
78.000000,9,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
78.000000,10,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
78.000000,11,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
78.000000,12,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
78.000000,13,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
78.000000,14,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
78.000000,15,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
78.000000,16,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
78.000000,17,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
78.000000,18,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
79.000000,0,round_robin,8.000000,8.224000,54.602500,2,2.200000,0.275000,1.000000
79.000000,1,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
79.000000,2,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
79.000000,3,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
79.000000,4,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
79.000000,5,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
79.000000,6,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
79.000000,7,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
79.000000,8,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
79.000000,9,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
79.000000,10,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
79.000000,11,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
79.000000,12,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
79.000000,13,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
79.000000,14,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
79.000000,15,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
79.000000,16,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
79.000000,17,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
79.000000,18,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
80.000000,0,round_robin,8.000000,8.224000,55.355500,2,2.200000,0.275000,1.000000
80.000000,1,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
80.000000,2,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
80.000000,3,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
80.000000,4,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
80.000000,5,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
80.000000,6,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
80.000000,7,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
80.000000,8,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
80.000000,9,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
80.000000,10,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
80.000000,11,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
80.000000,12,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
80.000000,13,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
80.000000,14,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
80.000000,15,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
80.000000,16,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
80.000000,17,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
80.000000,18,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
81.000000,0,round_robin,8.000000,8.224000,56.108500,2,2.200000,0.275000,1.000000
81.000000,1,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
81.000000,2,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
81.000000,3,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
81.000000,4,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
81.000000,5,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
81.000000,6,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
81.000000,7,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
81.000000,8,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
81.000000,9,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
81.000000,10,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
81.000000,11,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
81.000000,12,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
81.000000,13,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
81.000000,14,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
81.000000,15,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
81.000000,16,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
81.000000,17,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
81.000000,18,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
82.000000,0,round_robin,8.000000,8.224000,56.861500,2,2.200000,0.275000,1.000000
82.000000,1,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
82.000000,2,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
82.000000,3,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
82.000000,4,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
82.000000,5,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
82.000000,6,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
82.000000,7,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
82.000000,8,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
82.000000,9,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
82.000000,10,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
82.000000,11,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
82.000000,12,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
82.000000,13,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
82.000000,14,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
82.000000,15,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
82.000000,16,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
82.000000,17,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
82.000000,18,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
83.000000,0,round_robin,8.000000,8.224000,57.614500,2,2.200000,0.275000,1.000000
83.000000,1,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
83.000000,2,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
83.000000,3,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
83.000000,4,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
83.000000,5,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
83.000000,6,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
83.000000,7,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
83.000000,8,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
83.000000,9,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
83.000000,10,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
83.000000,11,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
83.000000,12,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
83.000000,13,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
83.000000,14,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
83.000000,15,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
83.000000,16,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
83.000000,17,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
83.000000,18,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
84.000000,0,round_robin,8.000000,8.224000,58.367500,2,2.200000,0.275000,1.000000
84.000000,1,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
84.000000,2,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
84.000000,3,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
84.000000,4,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
84.000000,5,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
84.000000,6,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
84.000000,7,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
84.000000,8,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
84.000000,9,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
84.000000,10,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
84.000000,11,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
84.000000,12,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
84.000000,13,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
84.000000,14,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
84.000000,15,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
84.000000,16,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
84.000000,17,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
84.000000,18,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
85.000000,0,round_robin,8.000000,8.224000,59.120500,2,2.200000,0.275000,1.000000
85.000000,1,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
85.000000,2,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
85.000000,3,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
85.000000,4,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
85.000000,5,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
85.000000,6,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
85.000000,7,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
85.000000,8,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
85.000000,9,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
85.000000,10,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
85.000000,11,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
85.000000,12,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
85.000000,13,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
85.000000,14,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
85.000000,15,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
85.000000,16,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
85.000000,17,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
85.000000,18,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
86.000000,0,round_robin,8.000000,8.224000,59.736000,3,3.300000,0.412500,1.000000
86.000000,1,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
86.000000,2,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
86.000000,3,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
86.000000,4,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
86.000000,5,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
86.000000,6,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
86.000000,7,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
86.000000,8,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
86.000000,9,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
86.000000,10,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
86.000000,11,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
86.000000,12,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
86.000000,13,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
86.000000,14,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
86.000000,15,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
86.000000,16,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
86.000000,17,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
86.000000,18,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
87.000000,0,round_robin,8.000000,8.224000,60.351500,3,3.300000,0.412500,1.000000
87.000000,1,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
87.000000,2,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
87.000000,3,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
87.000000,4,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
87.000000,5,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
87.000000,6,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
87.000000,7,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
87.000000,8,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
87.000000,9,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
87.000000,10,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
87.000000,11,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
87.000000,12,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
87.000000,13,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
87.000000,14,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
87.000000,15,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
87.000000,16,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
87.000000,17,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
87.000000,18,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
88.000000,0,round_robin,8.000000,8.224000,60.967000,3,3.300000,0.412500,1.000000
88.000000,1,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
88.000000,2,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
88.000000,3,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
88.000000,4,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
88.000000,5,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
88.000000,6,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
88.000000,7,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
88.000000,8,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
88.000000,9,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
88.000000,10,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
88.000000,11,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
88.000000,12,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
88.000000,13,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
88.000000,14,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
88.000000,15,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
88.000000,16,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
88.000000,17,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
88.000000,18,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
89.000000,0,round_robin,8.000000,8.224000,61.582500,3,3.300000,0.412500,1.000000
89.000000,1,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
89.000000,2,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
89.000000,3,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
89.000000,4,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
89.000000,5,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
89.000000,6,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
89.000000,7,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
89.000000,8,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
89.000000,9,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
89.000000,10,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
89.000000,11,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
89.000000,12,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
89.000000,13,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
89.000000,14,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
89.000000,15,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
89.000000,16,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
89.000000,17,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
